,prefecture_code,prefecture_en
0,1,Alachua
1,2,Baker
2,3,Bay
3,4,Bradford
4,5,Brevard
5,6,Broward
6,7,Calhoun
7,8,Charlotte
8,9,Citrus
9,10,Clay
10,11,Collier
11,12,Columbia
12,13,DeSoto
13,14,Dixie
14,15,Duval
15,16,Escambia
16,17,Flagler
17,18,Franklin
18,19,Gadsden
19,20,Gilchrist
20,21,Glades
21,22,Gulf
22,23,Hamilton
23,24,Hardee
24,25,Hendry
25,26,Hernando
26,27,Highlands
27,28,Hillsborough
28,29,Holmes
29,30,Indian River
30,31,Jackson
31,32,Jefferson
32,33,Lafayette
33,34,Lake
34,35,Lee
35,36,Leon
36,37,Levy
37,38,Liberty
38,39,Madison
39,40,Manatee
40,41,Marion
41,42,Martin
42,43,Miami-Dade
43,44,Monroe
44,45,Nassau
45,46,Okaloosa
46,47,Okeechobee
47,48,Orange
48,49,Osceola
49,50,Palm Beach
50,51,Pasco
51,52,Pinellas
52,53,Polk
53,54,Putnam
54,55,Santa Rosa
55,56,Sarasota
56,57,Seminole
57,58,St. Johns
58,59,St. Lucie
59,60,Sumter
60,61,Suwannee
61,62,Taylor
62,63,Union
63,64,Volusia
64,65,Wakulla
65,66,Walton
66,67,Washington
