,Hokkaido,Osaka,Tokushima,Nagasaki,Niigata,Hyogo,Ishikawa,Nagano,Tottori,Gunma,Oita,Saitama,Toyama,Akita,Wakayama,Kochi,Miyagi,Tokyo,Kanagawa,Fukuoka,Yamanashi,Aichi,Iwate,Unknown,Okayama,Nara,Mie,Kagawa,Miyazaki,Aomori,Shizuoka,Yamagata,Kumamoto,Hiroshima,Yamaguchi,Tochigi,Kagoshima,Chiba,Saga,Gifu,Okinawa,Shimane,Fukui,Ehime,Kyoto,Shiga,Fukushima,Ibaraki
2019-06-30 09:00:00,6,15,1,5,12,23,1,6,2,7,6,14,0,1,1,3,12,33,28,7,0,11,13,1,6,1,2,3,4,1,11,1,8,11,3,8,2,10,1,5,3,3,3,8,12,7,12,10
2019-06-30 10:00:00,10,38,1,6,11,23,2,12,5,4,3,10,2,0,1,4,9,26,20,11,3,17,3,1,10,2,4,3,2,2,11,5,10,6,3,9,1,9,0,3,1,8,1,3,23,4,10,8
2019-06-30 11:00:00,1,43,5,3,14,23,1,17,0,10,3,11,0,0,4,3,14,33,11,9,3,29,1,1,4,3,4,5,1,1,13,1,3,4,0,3,7,9,3,7,0,1,0,2,28,9,8,13
2019-06-30 12:00:00,5,33,3,2,10,24,2,11,0,7,0,8,3,2,2,3,9,20,9,4,2,29,1,2,2,5,10,3,5,0,11,4,9,2,1,2,4,6,1,10,1,0,2,4,15,3,5,6
2019-06-30 13:00:00,4,62,2,4,6,11,0,7,0,4,1,5,0,2,3,0,10,13,9,5,5,24,1,0,1,5,3,1,3,1,14,3,8,3,2,4,2,11,2,6,0,5,4,4,13,5,4,7
2019-06-30 14:00:00,3,30,1,1,5,14,1,3,0,1,1,4,0,1,2,0,6,24,21,15,3,15,2,1,1,7,6,3,0,2,17,0,3,1,0,5,8,4,0,3,1,0,2,1,17,6,2,7
2019-06-30 15:00:00,5,20,2,2,1,9,1,2,0,2,0,7,0,1,5,0,8,46,20,11,1,30,0,1,1,3,5,1,2,0,9,3,3,2,0,3,1,20,3,0,1,0,1,0,9,3,5,9
2019-06-30 16:00:00,1,10,1,1,4,8,4,2,0,0,4,15,1,0,3,0,5,56,22,12,2,21,0,1,4,4,3,0,3,1,10,5,7,2,1,1,1,11,3,3,3,4,0,1,5,5,3,3
2019-06-30 17:00:00,2,19,0,3,6,10,3,0,0,0,3,4,0,0,4,1,9,51,22,19,1,10,1,2,2,2,5,1,0,0,7,4,8,3,1,3,3,10,6,4,2,0,0,2,9,2,5,1
2019-06-30 18:00:00,4,11,0,4,2,5,1,2,0,2,5,10,1,2,1,1,5,28,10,11,0,6,2,1,1,1,2,2,2,4,11,0,6,3,2,2,3,4,5,3,0,1,1,2,7,1,3,1
2019-06-30 19:00:00,5,7,1,2,3,3,0,2,0,0,0,4,0,1,0,1,1,25,7,2,1,8,2,1,4,1,0,2,2,0,5,1,3,2,2,1,2,4,3,3,0,2,3,1,4,1,2,2
2019-06-30 20:00:00,7,7,0,4,0,9,0,5,0,0,2,4,0,2,1,1,5,12,14,5,2,8,2,0,2,0,2,0,1,0,5,1,4,3,1,1,0,6,1,1,1,0,1,3,14,0,0,2
2019-06-30 21:00:00,2,14,0,1,3,1,1,1,0,3,1,3,1,0,0,0,3,16,9,5,3,4,1,4,1,0,1,0,0,0,6,1,3,2,2,3,1,4,3,2,1,1,0,2,8,2,2,1
2019-06-30 22:00:00,5,7,0,1,3,6,2,3,0,2,2,3,1,0,0,3,4,20,10,3,0,6,3,0,3,0,2,1,1,0,4,1,3,1,1,0,5,3,3,2,0,0,0,4,4,2,1,1
2019-06-30 23:00:00,2,6,1,2,1,4,0,2,1,1,1,2,1,0,1,0,3,11,2,5,0,6,1,1,1,0,0,0,1,1,4,1,4,0,1,0,2,2,0,1,0,1,0,1,3,1,0,0
2019-07-01 00:00:00,0,7,0,0,1,0,1,2,1,3,3,0,0,0,0,1,0,8,6,4,1,2,0,0,2,0,0,0,0,0,6,0,1,0,0,0,3,1,0,0,0,1,0,0,0,0,4,0
2019-07-01 01:00:00,0,4,0,4,0,2,0,3,0,1,0,1,0,0,0,1,2,9,2,1,0,2,0,0,0,0,0,1,0,0,3,0,1,0,1,4,3,0,0,1,1,0,0,0,1,0,0,0
2019-07-01 02:00:00,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,6,0,0,1,0,0,0,0,0,0,0,0
2019-07-01 03:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,1,0,0,1,0,1,0,1,0,0,0,0,4,4,2,0,0,0,0,0,0,1,1,0,0
2019-07-01 04:00:00,0,4,2,0,0,0,0,0,3,0,0,0,0,0,1,0,0,2,3,0,0,1,1,1,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0
2019-07-01 05:00:00,0,12,0,0,0,6,0,2,0,1,1,2,0,1,2,0,3,2,8,0,0,2,0,0,0,1,1,0,0,1,5,0,1,0,0,0,4,3,0,2,0,0,0,1,2,0,1,0
2019-07-01 06:00:00,11,14,0,2,1,5,0,1,0,1,2,6,0,1,6,1,3,25,5,1,1,20,1,0,0,9,6,0,2,4,8,0,4,0,0,1,5,10,0,1,0,0,1,1,4,3,2,4
2019-07-01 07:00:00,2,25,2,3,0,14,0,4,0,2,1,8,1,0,6,2,2,18,13,10,6,18,1,1,5,1,4,2,6,2,10,0,6,3,1,2,8,7,4,2,0,0,0,1,3,6,0,4
2019-07-01 08:00:00,1,23,2,4,1,8,0,1,0,2,2,13,0,0,2,2,1,50,17,4,3,19,1,2,7,3,2,2,5,1,11,0,3,4,2,3,12,8,2,1,0,1,0,1,10,3,2,2
2019-07-01 09:00:00,1,14,1,1,0,3,0,0,0,2,1,11,0,0,1,0,1,42,12,6,1,14,0,1,0,2,3,2,3,0,7,1,1,0,0,2,7,5,1,2,0,1,2,2,7,0,0,4
2019-07-01 10:00:00,1,10,0,1,0,2,1,0,0,0,0,8,0,0,1,3,1,28,5,4,3,6,1,1,2,0,2,0,2,1,7,0,2,2,0,0,2,10,1,2,2,2,1,1,2,0,0,7
2019-07-01 11:00:00,6,12,1,2,1,5,0,2,0,1,1,6,0,1,0,0,0,23,11,4,1,4,0,0,0,1,2,1,1,1,5,1,4,1,1,2,2,3,0,0,1,0,0,1,3,0,1,5
2019-07-01 12:00:00,16,7,0,0,0,6,0,0,0,0,0,3,0,0,3,0,0,14,8,5,0,7,0,6,0,0,0,0,4,1,5,0,3,2,1,1,7,7,1,3,1,1,0,1,3,1,5,4
2019-07-01 13:00:00,2,2,0,0,2,3,0,4,0,0,1,7,0,0,1,0,0,12,7,3,0,3,0,0,2,0,0,0,1,0,0,0,2,1,1,0,1,2,0,1,0,0,0,1,3,0,0,4
2019-07-01 14:00:00,3,8,0,3,0,3,0,1,0,0,0,1,0,0,2,1,0,15,6,1,0,6,1,0,1,0,1,2,1,0,7,0,0,0,0,1,4,3,1,0,0,1,0,2,1,0,1,2
2019-07-01 15:00:00,3,9,0,3,1,2,0,0,0,1,1,1,0,0,0,0,0,8,1,5,0,2,0,0,0,0,1,1,0,1,6,0,2,0,1,1,0,3,1,1,0,0,0,1,2,0,1,2
2019-07-01 16:00:00,2,1,0,0,0,2,0,0,3,1,0,2,0,2,1,1,0,17,6,4,0,4,1,0,0,3,0,2,1,0,0,0,3,2,1,1,0,2,0,0,0,3,0,0,1,0,1,0
2019-07-01 17:00:00,2,8,0,1,2,1,0,0,0,0,0,5,0,0,1,0,1,8,4,1,0,0,0,0,0,2,0,0,0,0,4,1,1,2,2,1,3,4,0,1,3,0,0,1,1,0,0,2
2019-07-01 18:00:00,3,6,0,7,1,4,0,0,1,1,2,1,0,1,1,0,0,15,8,12,0,6,0,1,1,0,1,0,2,0,5,0,2,4,1,3,1,1,0,1,1,0,2,2,1,1,3,1
2019-07-01 19:00:00,1,3,0,1,2,3,0,2,0,1,0,1,0,0,0,0,2,13,3,8,0,6,0,0,0,1,3,0,2,1,3,0,3,3,0,3,6,3,2,0,0,0,0,0,1,1,3,3
